,P.S1,P.C1,P.S2,P.C2,F.S1,F.C1,F.S2,F.C2,F.S3,F.C3,T.S4,T.C4,R.S5,R.C5,Rank,Winner
Player 1 Game 9014,Diamonds,7,Hearts,5,Spades,3,Clubs,7,Clubs,10,Clubs,K,Spades,8,Straight,1
Player 2 Game 9014,Hearts,J,Diamonds,8,Spades,3,Clubs,7,Clubs,10,Clubs,K,Spades,8,One Pair,0
Player 1 Game 9015,Hearts,2,Hearts,4,Spades,8,Clubs,A,Clubs,3,Spades,3,Spades,A,Two Pair,2
Player 2 Game 9015,Spades,5,Hearts,6,Spades,8,Clubs,A,Clubs,3,Spades,3,Spades,A,Two Pair,2
Player 1 Game 9016,Hearts,Q,Hearts,6,Diamonds,A,Diamonds,3,Diamonds,8,Hearts,K,Spades,2,High Card,1
Player 2 Game 9016,Diamonds,4,Spades,Q,Diamonds,A,Diamonds,3,Diamonds,8,Hearts,K,Spades,2,High Card,0
Player 1 Game 9017,Hearts,8,Hearts,10,Clubs,8,Hearts,5,Spades,6,Hearts,2,Diamonds,5,Two Pair,0
Player 2 Game 9017,Spades,2,Spades,K,Clubs,8,Hearts,5,Spades,6,Hearts,2,Diamonds,5,Straight,1
Player 1 Game 9018,Spades,6,Diamonds,K,Spades,9,Hearts,K,Spades,2,Hearts,4,Hearts,A,One Pair,1
Player 2 Game 9018,Hearts,3,Clubs,10,Spades,9,Hearts,K,Spades,2,Hearts,4,Hearts,A,High Card,0
Player 1 Game 9019,Clubs,3,Clubs,6,Clubs,A,Diamonds,2,Hearts,2,Clubs,8,Hearts,A,Two Pair,0
Player 2 Game 9019,Diamonds,J,Clubs,5,Clubs,A,Diamonds,2,Hearts,2,Clubs,8,Hearts,A,Two Pair,1
Player 1 Game 9020,Clubs,3,Hearts,A,Hearts,6,Clubs,9,Spades,10,Hearts,J,Diamonds,A,One Pair,1
Player 2 Game 9020,Clubs,4,Diamonds,6,Hearts,6,Clubs,9,Spades,10,Hearts,J,Diamonds,A,One Pair,0
Player 1 Game 9021,Diamonds,8,Hearts,9,Hearts,7,Diamonds,J,Hearts,10,Spades,J,Hearts,A,Straight,2
Player 2 Game 9021,Spades,6,Clubs,Q,Hearts,7,Diamonds,J,Hearts,10,Spades,J,Hearts,A,Straight,2
Player 1 Game 9022,Spades,K,Hearts,10,Clubs,Q,Clubs,K,Clubs,J,Clubs,4,Diamonds,9,Straight,1
Player 2 Game 9022,Diamonds,7,Spades,2,Clubs,Q,Clubs,K,Clubs,J,Clubs,4,Diamonds,9,High Card,0
Player 1 Game 9023,Spades,4,Spades,10,Diamonds,3,Diamonds,5,Clubs,9,Hearts,Q,Clubs,K,High Card,0
Player 2 Game 9023,Diamonds,4,Spades,Q,Diamonds,3,Diamonds,5,Clubs,9,Hearts,Q,Clubs,K,One Pair,1
Player 1 Game 9024,Spades,10,Diamonds,2,Diamonds,K,Spades,4,Spades,7,Spades,Q,Clubs,Q,One Pair,0
Player 2 Game 9024,Clubs,10,Diamonds,A,Diamonds,K,Spades,4,Spades,7,Spades,Q,Clubs,Q,One Pair,1
Player 1 Game 9025,Hearts,K,Spades,10,Diamonds,A,Clubs,6,Hearts,3,Diamonds,8,Hearts,7,High Card,0
Player 2 Game 9025,Spades,A,Diamonds,3,Diamonds,A,Clubs,6,Hearts,3,Diamonds,8,Hearts,7,Two Pair,1
Player 1 Game 9026,Clubs,8,Diamonds,2,Diamonds,7,Diamonds,K,Diamonds,8,Diamonds,3,Clubs,J,Flush,1
Player 2 Game 9026,Spades,10,Clubs,A,Diamonds,7,Diamonds,K,Diamonds,8,Diamonds,3,Clubs,J,High Card,0
Player 1 Game 9027,Clubs,10,Spades,5,Hearts,2,Clubs,Q,Clubs,5,Hearts,10,Diamonds,A,Two Pair,1
Player 2 Game 9027,Hearts,K,Spades,3,Hearts,2,Clubs,Q,Clubs,5,Hearts,10,Diamonds,A,High Card,0
Player 1 Game 9028,Clubs,A,Hearts,4,Spades,J,Clubs,10,Clubs,4,Spades,10,Diamonds,10,Full House,1
Player 2 Game 9028,Diamonds,K,Spades,8,Spades,J,Clubs,10,Clubs,4,Spades,10,Diamonds,10,Three of a Kind,0
Player 1 Game 9029,Diamonds,3,Hearts,J,Spades,9,Diamonds,9,Spades,6,Hearts,4,Spades,2,One Pair,0
Player 2 Game 9029,Spades,7,Clubs,9,Spades,9,Diamonds,9,Spades,6,Hearts,4,Spades,2,Straight,1
Player 1 Game 9030,Diamonds,K,Hearts,2,Diamonds,6,Diamonds,2,Hearts,J,Clubs,6,Spades,A,Two Pair,0
Player 2 Game 9030,Diamonds,9,Hearts,9,Diamonds,6,Diamonds,2,Hearts,J,Clubs,6,Spades,A,Two Pair,1
Player 1 Game 9031,Clubs,9,Hearts,2,Hearts,7,Diamonds,J,Hearts,5,Spades,6,Spades,Q,High Card,0
Player 2 Game 9031,Diamonds,7,Spades,7,Hearts,7,Diamonds,J,Hearts,5,Spades,6,Spades,Q,Three of a Kind,1
Player 1 Game 9032,Hearts,8,Spades,Q,Spades,6,Clubs,10,Spades,A,Clubs,4,Clubs,Q,One Pair,0
Player 2 Game 9032,Diamonds,A,Diamonds,10,Spades,6,Clubs,10,Spades,A,Clubs,4,Clubs,Q,Straight,1
Player 1 Game 9033,Spades,A,Hearts,10,Spades,8,Hearts,2,Diamonds,8,Clubs,4,Clubs,2,Two Pair,1
Player 2 Game 9033,Clubs,5,Diamonds,10,Spades,8,Hearts,2,Diamonds,8,Clubs,4,Clubs,2,Two Pair,0
Player 1 Game 9034,Spades,2,Hearts,6,Spades,3,Spades,J,Clubs,9,Hearts,5,Diamonds,K,High Card,0
Player 2 Game 9034,Spades,6,Spades,10,Spades,3,Spades,J,Clubs,9,Hearts,5,Diamonds,K,High Card,1
Player 1 Game 9035,Hearts,K,Spades,8,Clubs,9,Diamonds,5,Clubs,3,Hearts,9,Diamonds,6,One Pair,1
Player 2 Game 9035,Diamonds,7,Clubs,J,Clubs,9,Diamonds,5,Clubs,3,Hearts,9,Diamonds,6,One Pair,0
Player 1 Game 9036,Clubs,9,Clubs,4,Hearts,3,Diamonds,K,Hearts,5,Diamonds,4,Diamonds,5,Two Pair,0
Player 2 Game 9036,Hearts,8,Clubs,5,Hearts,3,Diamonds,K,Hearts,5,Diamonds,4,Diamonds,5,Three of a Kind,1
Player 1 Game 9037,Clubs,3,Spades,3,Diamonds,9,Clubs,4,Diamonds,A,Diamonds,6,Hearts,Q,One Pair,0
Player 2 Game 9037,Diamonds,8,Hearts,9,Diamonds,9,Clubs,4,Diamonds,A,Diamonds,6,Hearts,Q,One Pair,1
Player 1 Game 9038,Clubs,A,Spades,Q,Spades,J,Hearts,2,Diamonds,9,Spades,10,Clubs,4,High Card,1
Player 2 Game 9038,Spades,7,Diamonds,K,Spades,J,Hearts,2,Diamonds,9,Spades,10,Clubs,4,High Card,0
Player 1 Game 9039,Clubs,K,Clubs,5,Clubs,9,Diamonds,5,Hearts,3,Hearts,7,Clubs,A,One Pair,1
Player 2 Game 9039,Diamonds,K,Spades,2,Clubs,9,Diamonds,5,Hearts,3,Hearts,7,Clubs,A,High Card,0
Player 1 Game 9040,Spades,9,Clubs,5,Diamonds,8,Clubs,9,Diamonds,A,Diamonds,2,Diamonds,Q,One Pair,0
Player 2 Game 9040,Hearts,K,Hearts,Q,Diamonds,8,Clubs,9,Diamonds,A,Diamonds,2,Diamonds,Q,Straight,1
Player 1 Game 9041,Clubs,A,Hearts,9,Clubs,K,Spades,A,Clubs,3,Spades,5,Clubs,7,One Pair,1
Player 2 Game 9041,Hearts,Q,Clubs,4,Clubs,K,Spades,A,Clubs,3,Spades,5,Clubs,7,High Card,0
Player 1 Game 9042,Clubs,J,Diamonds,J,Diamonds,6,Spades,9,Clubs,3,Hearts,3,Diamonds,A,Two Pair,1
Player 2 Game 9042,Diamonds,10,Clubs,6,Diamonds,6,Spades,9,Clubs,3,Hearts,3,Diamonds,A,Two Pair,0
Player 1 Game 9043,Clubs,3,Hearts,2,Hearts,3,Diamonds,7,Spades,Q,Clubs,6,Hearts,7,Two Pair,1
Player 2 Game 9043,Diamonds,A,Spades,4,Hearts,3,Diamonds,7,Spades,Q,Clubs,6,Hearts,7,One Pair,0
Player 1 Game 9044,Spades,5,Clubs,3,Clubs,4,Diamonds,K,Diamonds,A,Hearts,9,Clubs,10,High Card,0
Player 2 Game 9044,Diamonds,Q,Clubs,6,Clubs,4,Diamonds,K,Diamonds,A,Hearts,9,Clubs,10,High Card,1
Player 1 Game 9045,Diamonds,10,Hearts,4,Hearts,5,Clubs,3,Clubs,8,Hearts,Q,Clubs,K,High Card,1
Player 2 Game 9045,Spades,2,Diamonds,6,Hearts,5,Clubs,3,Clubs,8,Hearts,Q,Clubs,K,High Card,0
Player 1 Game 9046,Diamonds,2,Spades,2,Clubs,5,Spades,7,Hearts,A,Clubs,6,Clubs,2,Three of a Kind,1
Player 2 Game 9046,Spades,A,Spades,3,Clubs,5,Spades,7,Hearts,A,Clubs,6,Clubs,2,One Pair,0
Player 1 Game 9047,Diamonds,4,Clubs,8,Spades,4,Clubs,K,Hearts,J,Hearts,A,Diamonds,2,One Pair,1
Player 2 Game 9047,Diamonds,6,Spades,2,Spades,4,Clubs,K,Hearts,J,Hearts,A,Diamonds,2,One Pair,0
Player 1 Game 9048,Spades,2,Hearts,8,Diamonds,A,Diamonds,J,Hearts,5,Diamonds,6,Clubs,K,High Card,0
Player 2 Game 9048,Hearts,4,Hearts,10,Diamonds,A,Diamonds,J,Hearts,5,Diamonds,6,Clubs,K,High Card,1
Player 1 Game 9049,Clubs,10,Spades,Q,Spades,K,Spades,4,Clubs,3,Clubs,8,Hearts,10,One Pair,1
Player 2 Game 9049,Hearts,8,Clubs,A,Spades,K,Spades,4,Clubs,3,Clubs,8,Hearts,10,One Pair,0
Player 1 Game 9050,Spades,9,Hearts,5,Spades,7,Diamonds,Q,Clubs,A,Diamonds,10,Clubs,Q,Straight,1
Player 2 Game 9050,Hearts,J,Spades,A,Spades,7,Diamonds,Q,Clubs,A,Diamonds,10,Clubs,Q,Two Pair,0
Player 1 Game 9051,Diamonds,10,Spades,10,Clubs,5,Clubs,9,Hearts,J,Clubs,Q,Clubs,J,Straight,1
Player 2 Game 9051,Spades,4,Hearts,4,Clubs,5,Clubs,9,Hearts,J,Clubs,Q,Clubs,J,Two Pair,0
Player 1 Game 9052,Hearts,Q,Spades,7,Spades,9,Clubs,Q,Diamonds,10,Diamonds,3,Diamonds,4,Straight,1
Player 2 Game 9052,Diamonds,5,Hearts,4,Spades,9,Clubs,Q,Diamonds,10,Diamonds,3,Diamonds,4,One Pair,0
Player 1 Game 9053,Clubs,4,Spades,K,Diamonds,A,Spades,Q,Diamonds,4,Clubs,6,Hearts,2,One Pair,1
Player 2 Game 9053,Spades,3,Spades,9,Diamonds,A,Spades,Q,Diamonds,4,Clubs,6,Hearts,2,High Card,0
Player 1 Game 9054,Diamonds,2,Hearts,5,Hearts,6,Clubs,A,Clubs,10,Diamonds,5,Diamonds,A,Two Pair,1
Player 2 Game 9054,Clubs,7,Clubs,Q,Hearts,6,Clubs,A,Clubs,10,Diamonds,5,Diamonds,A,One Pair,0
Player 1 Game 9055,Spades,9,Diamonds,5,Spades,6,Spades,5,Hearts,8,Clubs,5,Hearts,5,Four of a Kind,1
Player 2 Game 9055,Hearts,2,Hearts,K,Spades,6,Spades,5,Hearts,8,Clubs,5,Hearts,5,Three of a Kind,0
Player 1 Game 9056,Spades,5,Hearts,9,Diamonds,10,Hearts,3,Clubs,6,Spades,K,Diamonds,4,High Card,0
Player 2 Game 9056,Diamonds,8,Spades,A,Diamonds,10,Hearts,3,Clubs,6,Spades,K,Diamonds,4,High Card,1
Player 1 Game 9057,Diamonds,5,Clubs,10,Hearts,J,Hearts,3,Spades,9,Clubs,8,Spades,4,High Card,0
Player 2 Game 9057,Spades,7,Diamonds,9,Hearts,J,Hearts,3,Spades,9,Clubs,8,Spades,4,One Pair,1
Player 1 Game 9058,Spades,4,Clubs,Q,Clubs,3,Spades,J,Diamonds,2,Spades,9,Spades,8,High Card,1
Player 2 Game 9058,Hearts,10,Diamonds,5,Clubs,3,Spades,J,Diamonds,2,Spades,9,Spades,8,High Card,0
Player 1 Game 9059,Spades,10,Diamonds,J,Hearts,8,Hearts,2,Spades,K,Spades,4,Hearts,3,High Card,0
Player 2 Game 9059,Hearts,A,Hearts,Q,Hearts,8,Hearts,2,Spades,K,Spades,4,Hearts,3,Flush,1
Player 1 Game 9060,Spades,A,Clubs,A,Hearts,2,Hearts,9,Clubs,9,Spades,6,Diamonds,2,Two Pair,0
Player 2 Game 9060,Spades,4,Spades,9,Hearts,2,Hearts,9,Clubs,9,Spades,6,Diamonds,2,Full House,1
Player 1 Game 9061,Diamonds,Q,Spades,9,Diamonds,7,Clubs,5,Hearts,3,Clubs,9,Clubs,K,One Pair,1
Player 2 Game 9061,Hearts,7,Spades,6,Diamonds,7,Clubs,5,Hearts,3,Clubs,9,Clubs,K,One Pair,0
Player 1 Game 9062,Diamonds,K,Clubs,J,Clubs,3,Clubs,10,Clubs,9,Diamonds,3,Spades,3,Three of a Kind,0
Player 2 Game 9062,Hearts,6,Spades,9,Clubs,3,Clubs,10,Clubs,9,Diamonds,3,Spades,3,Full House,1
Player 1 Game 9063,Hearts,A,Diamonds,A,Clubs,9,Hearts,7,Hearts,Q,Hearts,J,Spades,9,Straight,0
Player 2 Game 9063,Hearts,6,Hearts,4,Clubs,9,Hearts,7,Hearts,Q,Hearts,J,Spades,9,Flush,1
Player 1 Game 9064,Hearts,4,Clubs,8,Hearts,J,Hearts,K,Clubs,2,Diamonds,2,Diamonds,6,One Pair,0
Player 2 Game 9064,Spades,7,Diamonds,A,Hearts,J,Hearts,K,Clubs,2,Diamonds,2,Diamonds,6,One Pair,1
Player 1 Game 9065,Spades,8,Hearts,9,Clubs,Q,Diamonds,9,Hearts,A,Spades,9,Diamonds,6,Three of a Kind,1
Player 2 Game 9065,Diamonds,3,Hearts,7,Clubs,Q,Diamonds,9,Hearts,A,Spades,9,Diamonds,6,One Pair,0
Player 1 Game 9066,Spades,9,Diamonds,8,Clubs,10,Clubs,J,Hearts,A,Spades,2,Spades,6,High Card,0
Player 2 Game 9066,Diamonds,A,Clubs,4,Clubs,10,Clubs,J,Hearts,A,Spades,2,Spades,6,One Pair,1
Player 1 Game 9067,Clubs,6,Hearts,K,Hearts,10,Spades,10,Clubs,5,Diamonds,A,Clubs,9,Straight,1
Player 2 Game 9067,Clubs,7,Spades,5,Hearts,10,Spades,10,Clubs,5,Diamonds,A,Clubs,9,Two Pair,0
Player 1 Game 9068,Diamonds,K,Spades,A,Diamonds,7,Spades,4,Diamonds,9,Hearts,A,Spades,3,One Pair,1
Player 2 Game 9068,Diamonds,2,Clubs,9,Diamonds,7,Spades,4,Diamonds,9,Hearts,A,Spades,3,One Pair,0
Player 1 Game 9069,Clubs,4,Spades,J,Diamonds,K,Hearts,Q,Clubs,8,Clubs,10,Hearts,6,High Card,0
Player 2 Game 9069,Diamonds,6,Clubs,5,Diamonds,K,Hearts,Q,Clubs,8,Clubs,10,Hearts,6,One Pair,1
Player 1 Game 9070,Diamonds,4,Hearts,5,Spades,Q,Hearts,8,Diamonds,6,Hearts,A,Clubs,9,High Card,0
Player 2 Game 9070,Hearts,6,Diamonds,10,Spades,Q,Hearts,8,Diamonds,6,Hearts,A,Clubs,9,One Pair,1
Player 1 Game 9071,Diamonds,A,Hearts,3,Diamonds,Q,Clubs,6,Clubs,Q,Spades,8,Clubs,5,One Pair,0
Player 2 Game 9071,Spades,A,Hearts,8,Diamonds,Q,Clubs,6,Clubs,Q,Spades,8,Clubs,5,Two Pair,1
Player 1 Game 9072,Diamonds,J,Spades,3,Diamonds,3,Hearts,10,Clubs,K,Diamonds,7,Hearts,4,One Pair,1
Player 2 Game 9072,Clubs,J,Diamonds,A,Diamonds,3,Hearts,10,Clubs,K,Diamonds,7,Hearts,4,High Card,0
Player 1 Game 9073,Diamonds,8,Spades,2,Spades,6,Spades,Q,Diamonds,J,Hearts,3,Hearts,8,One Pair,1
Player 2 Game 9073,Hearts,9,Spades,5,Spades,6,Spades,Q,Diamonds,J,Hearts,3,Hearts,8,High Card,0
Player 1 Game 9074,Spades,4,Diamonds,3,Clubs,6,Diamonds,A,Diamonds,J,Hearts,J,Clubs,4,Two Pair,1
Player 2 Game 9074,Diamonds,2,Spades,7,Clubs,6,Diamonds,A,Diamonds,J,Hearts,J,Clubs,4,One Pair,0
Player 1 Game 9075,Spades,2,Clubs,3,Diamonds,A,Hearts,7,Hearts,4,Clubs,5,Diamonds,K,Straight,1
Player 2 Game 9075,Hearts,9,Clubs,Q,Diamonds,A,Hearts,7,Hearts,4,Clubs,5,Diamonds,K,High Card,0
Player 1 Game 9076,Hearts,10,Spades,3,Diamonds,Q,Diamonds,K,Clubs,A,Spades,Q,Spades,7,One Pair,0
Player 2 Game 9076,Clubs,8,Clubs,K,Diamonds,Q,Diamonds,K,Clubs,A,Spades,Q,Spades,7,Two Pair,1
Player 1 Game 9077,Spades,9,Spades,K,Clubs,10,Clubs,A,Diamonds,4,Clubs,7,Clubs,3,High Card,0
Player 2 Game 9077,Hearts,5,Hearts,7,Clubs,10,Clubs,A,Diamonds,4,Clubs,7,Clubs,3,One Pair,1
Player 1 Game 9078,Hearts,K,Diamonds,7,Diamonds,2,Clubs,A,Hearts,Q,Diamonds,4,Diamonds,Q,One Pair,0
Player 2 Game 9078,Diamonds,5,Diamonds,10,Diamonds,2,Clubs,A,Hearts,Q,Diamonds,4,Diamonds,Q,Flush,1
Player 1 Game 9079,Spades,K,Diamonds,4,Diamonds,7,Hearts,6,Hearts,8,Clubs,A,Hearts,K,One Pair,1
Player 2 Game 9079,Clubs,3,Clubs,Q,Diamonds,7,Hearts,6,Hearts,8,Clubs,A,Hearts,K,High Card,0
Player 1 Game 9080,Hearts,J,Hearts,10,Diamonds,6,Diamonds,10,Clubs,3,Hearts,4,Spades,4,Two Pair,1
Player 2 Game 9080,Spades,3,Clubs,5,Diamonds,6,Diamonds,10,Clubs,3,Hearts,4,Spades,4,Two Pair,0
Player 1 Game 9081,Hearts,K,Clubs,7,Hearts,10,Clubs,K,Clubs,J,Hearts,3,Spades,9,One Pair,0
Player 2 Game 9081,Spades,Q,Diamonds,2,Hearts,10,Clubs,K,Clubs,J,Hearts,3,Spades,9,Straight,1
Player 1 Game 9082,Spades,K,Spades,7,Spades,3,Hearts,9,Diamonds,9,Spades,5,Hearts,A,One Pair,1
Player 2 Game 9082,Hearts,2,Hearts,7,Spades,3,Hearts,9,Diamonds,9,Spades,5,Hearts,A,One Pair,0
Player 1 Game 9083,Hearts,A,Spades,2,Hearts,K,Spades,3,Diamonds,10,Spades,7,Spades,4,High Card,0
Player 2 Game 9083,Hearts,5,Spades,5,Hearts,K,Spades,3,Diamonds,10,Spades,7,Spades,4,One Pair,1
Player 1 Game 9084,Hearts,4,Spades,10,Clubs,A,Clubs,9,Spades,5,Spades,7,Diamonds,A,One Pair,2
Player 2 Game 9084,Spades,6,Diamonds,10,Clubs,A,Clubs,9,Spades,5,Spades,7,Diamonds,A,One Pair,2
Player 1 Game 9085,Spades,J,Diamonds,5,Hearts,7,Clubs,9,Clubs,J,Clubs,6,Clubs,3,One Pair,1
Player 2 Game 9085,Hearts,10,Hearts,3,Hearts,7,Clubs,9,Clubs,J,Clubs,6,Clubs,3,One Pair,0
Player 1 Game 9086,Diamonds,6,Spades,K,Diamonds,A,Spades,9,Hearts,K,Clubs,9,Clubs,10,Two Pair,0
Player 2 Game 9086,Clubs,5,Diamonds,7,Diamonds,A,Spades,9,Hearts,K,Clubs,9,Clubs,10,Straight,1
Player 1 Game 9087,Spades,5,Diamonds,9,Spades,J,Diamonds,8,Spades,K,Diamonds,J,Clubs,6,Straight,2
Player 2 Game 9087,Clubs,9,Hearts,3,Spades,J,Diamonds,8,Spades,K,Diamonds,J,Clubs,6,Straight,2
Player 1 Game 9088,Clubs,4,Hearts,8,Hearts,5,Clubs,J,Diamonds,J,Hearts,7,Spades,5,Two Pair,0
Player 2 Game 9088,Spades,6,Clubs,Q,Hearts,5,Clubs,J,Diamonds,J,Hearts,7,Spades,5,Two Pair,1
Player 1 Game 9089,Hearts,8,Spades,K,Clubs,J,Diamonds,9,Hearts,4,Diamonds,7,Hearts,J,One Pair,1
Player 2 Game 9089,Hearts,6,Diamonds,5,Clubs,J,Diamonds,9,Hearts,4,Diamonds,7,Hearts,J,One Pair,0
Player 1 Game 9090,Hearts,5,Clubs,6,Diamonds,J,Clubs,10,Clubs,J,Spades,4,Hearts,7,Straight,1
Player 2 Game 9090,Spades,J,Hearts,2,Diamonds,J,Clubs,10,Clubs,J,Spades,4,Hearts,7,Three of a Kind,0
Player 1 Game 9091,Diamonds,9,Diamonds,K,Spades,5,Hearts,Q,Clubs,J,Hearts,K,Spades,A,One Pair,1
Player 2 Game 9091,Diamonds,5,Diamonds,2,Spades,5,Hearts,Q,Clubs,J,Hearts,K,Spades,A,One Pair,0
Player 1 Game 9092,Diamonds,8,Hearts,6,Hearts,Q,Hearts,10,Hearts,8,Hearts,7,Clubs,8,Flush,1
Player 2 Game 9092,Hearts,5,Spades,5,Hearts,Q,Hearts,10,Hearts,8,Hearts,7,Clubs,8,Flush,0
Player 1 Game 9093,Spades,A,Spades,8,Diamonds,2,Clubs,3,Spades,10,Spades,5,Hearts,7,High Card,1
Player 2 Game 9093,Diamonds,Q,Diamonds,J,Diamonds,2,Clubs,3,Spades,10,Spades,5,Hearts,7,High Card,0
Player 1 Game 9094,Clubs,2,Spades,J,Hearts,4,Clubs,7,Diamonds,8,Diamonds,9,Diamonds,6,High Card,0
Player 2 Game 9094,Hearts,Q,Diamonds,10,Hearts,4,Clubs,7,Diamonds,8,Diamonds,9,Diamonds,6,Straight,1
Player 1 Game 9095,Diamonds,6,Spades,8,Hearts,6,Hearts,5,Spades,7,Hearts,10,Hearts,J,One Pair,1
Player 2 Game 9095,Diamonds,9,Spades,Q,Hearts,6,Hearts,5,Spades,7,Hearts,10,Hearts,J,High Card,0
Player 1 Game 9096,Spades,8,Diamonds,A,Spades,6,Diamonds,4,Hearts,6,Clubs,4,Diamonds,7,Two Pair,1
Player 2 Game 9096,Hearts,J,Clubs,8,Spades,6,Diamonds,4,Hearts,6,Clubs,4,Diamonds,7,Two Pair,0
Player 1 Game 9097,Diamonds,7,Clubs,K,Diamonds,2,Clubs,10,Clubs,J,Hearts,8,Spades,Q,High Card,0
Player 2 Game 9097,Diamonds,Q,Diamonds,A,Diamonds,2,Clubs,10,Clubs,J,Hearts,8,Spades,Q,One Pair,1
Player 1 Game 9098,Spades,6,Spades,3,Spades,4,Spades,2,Clubs,2,Hearts,8,Clubs,A,One Pair,0
Player 2 Game 9098,Diamonds,5,Diamonds,4,Spades,4,Spades,2,Clubs,2,Hearts,8,Clubs,A,Two Pair,1
Player 1 Game 9099,Clubs,3,Diamonds,9,Clubs,A,Clubs,J,Spades,A,Spades,7,Clubs,9,Two Pair,1
Player 2 Game 9099,Diamonds,3,Clubs,K,Clubs,A,Clubs,J,Spades,A,Spades,7,Clubs,9,One Pair,0
Player 1 Game 9100,Clubs,5,Clubs,9,Clubs,2,Clubs,A,Spades,2,Diamonds,4,Hearts,2,Straight,2
Player 2 Game 9100,Diamonds,8,Spades,5,Clubs,2,Clubs,A,Spades,2,Diamonds,4,Hearts,2,Straight,2
Player 1 Game 9101,Clubs,K,Hearts,8,Clubs,10,Spades,A,Diamonds,8,Spades,3,Hearts,9,One Pair,1
Player 2 Game 9101,Clubs,Q,Diamonds,6,Clubs,10,Spades,A,Diamonds,8,Spades,3,Hearts,9,High Card,0
Player 1 Game 9102,Clubs,9,Clubs,J,Spades,5,Diamonds,7,Hearts,8,Diamonds,5,Diamonds,8,Two Pair,0
Player 2 Game 9102,Diamonds,9,Spades,7,Spades,5,Diamonds,7,Hearts,8,Diamonds,5,Diamonds,8,Two Pair,1
Player 1 Game 9103,Clubs,6,Hearts,8,Spades,3,Diamonds,6,Hearts,A,Spades,7,Hearts,7,Two Pair,1
Player 2 Game 9103,Hearts,Q,Clubs,K,Spades,3,Diamonds,6,Hearts,A,Spades,7,Hearts,7,One Pair,0
Player 1 Game 9104,Diamonds,J,Clubs,A,Spades,5,Hearts,5,Diamonds,Q,Clubs,8,Clubs,J,Two Pair,0
Player 2 Game 9104,Diamonds,4,Spades,Q,Spades,5,Hearts,5,Diamonds,Q,Clubs,8,Clubs,J,Two Pair,1
Player 1 Game 9105,Hearts,2,Clubs,K,Diamonds,J,Clubs,8,Spades,5,Diamonds,4,Clubs,J,One Pair,0
Player 2 Game 9105,Clubs,A,Clubs,Q,Diamonds,J,Clubs,8,Spades,5,Diamonds,4,Clubs,J,One Pair,1
Player 1 Game 9106,Clubs,4,Clubs,7,Spades,J,Spades,10,Hearts,2,Hearts,8,Clubs,6,High Card,0
Player 2 Game 9106,Hearts,K,Hearts,Q,Spades,J,Spades,10,Hearts,2,Hearts,8,Clubs,6,High Card,1
Player 1 Game 9107,Spades,5,Clubs,9,Spades,4,Spades,Q,Hearts,7,Clubs,2,Clubs,7,Straight,1
Player 2 Game 9107,Hearts,5,Hearts,4,Spades,4,Spades,Q,Hearts,7,Clubs,2,Clubs,7,Two Pair,0
Player 1 Game 9108,Hearts,8,Spades,Q,Spades,9,Hearts,5,Diamonds,9,Spades,5,Clubs,9,Full House,2
Player 2 Game 9108,Hearts,A,Diamonds,6,Spades,9,Hearts,5,Diamonds,9,Spades,5,Clubs,9,Full House,2
Player 1 Game 9109,Diamonds,9,Hearts,3,Diamonds,3,Spades,3,Diamonds,5,Hearts,9,Diamonds,Q,Full House,1
Player 2 Game 9109,Clubs,2,Hearts,5,Diamonds,3,Spades,3,Diamonds,5,Hearts,9,Diamonds,Q,Two Pair,0
Player 1 Game 9110,Spades,5,Spades,9,Clubs,J,Clubs,2,Hearts,5,Clubs,10,Diamonds,5,Three of a Kind,1
Player 2 Game 9110,Spades,2,Diamonds,K,Clubs,J,Clubs,2,Hearts,5,Clubs,10,Diamonds,5,Two Pair,0
Player 1 Game 9111,Clubs,Q,Clubs,3,Hearts,Q,Clubs,7,Diamonds,8,Diamonds,2,Diamonds,6,One Pair,1
Player 2 Game 9111,Hearts,A,Hearts,4,Hearts,Q,Clubs,7,Diamonds,8,Diamonds,2,Diamonds,6,High Card,0
Player 1 Game 9112,Clubs,2,Spades,6,Spades,A,Clubs,3,Clubs,4,Spades,9,Clubs,10,High Card,0
Player 2 Game 9112,Diamonds,3,Diamonds,J,Spades,A,Clubs,3,Clubs,4,Spades,9,Clubs,10,One Pair,1
Player 1 Game 9113,Hearts,J,Clubs,K,Spades,9,Hearts,7,Hearts,3,Spades,8,Spades,3,One Pair,0
Player 2 Game 9113,Clubs,7,Hearts,5,Spades,9,Hearts,7,Hearts,3,Spades,8,Spades,3,Straight,1
Player 1 Game 9114,Clubs,4,Hearts,Q,Hearts,10,Diamonds,3,Diamonds,K,Clubs,J,Diamonds,Q,One Pair,2
Player 2 Game 9114,Hearts,4,Clubs,Q,Hearts,10,Diamonds,3,Diamonds,K,Clubs,J,Diamonds,Q,One Pair,2
Player 1 Game 9115,Clubs,2,Hearts,9,Spades,3,Hearts,7,Spades,A,Diamonds,K,Spades,Q,High Card,0
Player 2 Game 9115,Diamonds,7,Spades,2,Spades,3,Hearts,7,Spades,A,Diamonds,K,Spades,Q,One Pair,1
Player 1 Game 9116,Clubs,10,Diamonds,5,Spades,K,Clubs,2,Hearts,8,Spades,A,Diamonds,Q,High Card,0
Player 2 Game 9116,Clubs,Q,Clubs,J,Spades,K,Clubs,2,Hearts,8,Spades,A,Diamonds,Q,One Pair,1
